,query
89,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.
filter (?budget > ""500""^^<http://dbpedia.org/datatype/usDollar>).

  
}

order by desc (?date)"
90,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.
filter (?budget > ""500""^^<http://dbpedia.org/datatype/usDollar>).

  
}

order by desc (?date)"
91,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.
filter (?budget > ""50""^^<http://dbpedia.org/datatype/usDollar>).

  
}

order by desc (?date)"
92,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.
filter (?budget > ""50"").

  
}

order by desc (?date)"
93,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.

filter (?budget > ""1""^^<http://dbpedia.org/datatype/usDollar>).
  
}

order by desc (?date)"
94,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.

filter (?budget > ""1""^^<http://dbpedia.org/datatype/usDollar>).
  
}

order by desc (?date)"
95,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.

filter (DATATYPE(?budget) > ""1""^^<http://dbpedia.org/datatype/usDollar>).
  
}

order by desc (?date)"
96,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.

filter (DATATYPE(?budget) =<http://dbpedia.org/datatype/usDollar>).
  
}

order by desc (?date)"
97,"select distinct ?n, ?date,?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
  optional{ ?n dbpedia-owl:budget ?budget}.
}

order by desc (?date)

"
98,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.

filter (?budget = ""18000.0""^^<http://dbpedia.org/datatype/usDollar>).
  
}

order by desc (?date)"
99,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.

filter (?budget >= ""18000.0""^^<http://dbpedia.org/datatype/usDollar>).
  
}

order by desc (?date)"
100,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.

filter (?budget >= ""500000""^^<http://dbpedia.org/datatype/usDollar>).
  
}

order by desc (?date)"
101,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.

filter (?budget >= ""500.000""^^<http://dbpedia.org/datatype/usDollar>).
  
}

order by desc (?date)"
102,"select ?avtor ?jazik
where
{
  dbpedia:The_Little_Prince dbpedia-owl:author ?avtor;
dbpprop:language ?jazik.

}"
103,"select ?apstrakt
where
{
  dbpedia:The_Little_Prince dbpedia-owl:abstract ?apstrakt;


}"
104,"select ?apstrakt
where
{
  dbpedia:The_Little_Prince dbpedia-owl:abstract ?apstrakt.


}"
105,"select ?ime, ?datumRag, ?mestoRag, ?datumUm, ?mestoUm
where
{
  dbpedia:The_Little_Prince dbpedia-owl:author ?ime.
?ime dbpedia-owl:birthDate ?datumRag;
dbpedia-owl:birthPlace ?mestoRag;
dbpedia-owl:deathDate ?datumUm;
dbpedia-owl:deathPlace ?mestoUm.


}"
106,"select ?godina,?kuka,?naslov
where
{
  dbpedia:The_Little_Prince dbpprop:titleOrig ?naslov.



}"
